ID,Code,Name,Description,Specification
1,BNEDR500,Taladro Electrico,"Voltage:110-120V~50/60Hz
Potencia de entrada:450W
Velocidad sin carga:0-3300rpm
Capacidad máxima de perforación: 3/8
Tamaño del portabrocas: 10MM","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
2,BNIMD710,Taladro de impacto,"Voltage:110-120V~50/60Hz
Potencia de entrada:710W
Velocidad sin carga:0-2800rpm
Capacidad máxima de perforación: 1/2
Tamaño del portabrocas: 13MM/ 1/2''","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
3,BNIMD850,Taladro de impacto,"Voltage:110-120V~50/60Hz
Potencia de entrada:810W
Velocidad sin carga:0～2800r/min
Capacidad máxima de perforación:1/2""
Tamaño del portabrocas: 13MM/ 1/2''
","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
4,BNIMD1100,Taladro de impacto,"Voltage:110-120V~50/60Hz
Potencia de entrada:1050W
Velocidad sin carga:0-2800rpm
Capacidad máxima de perforación:1/2""
Tamaño del portabrocas: 13MM/ 1/2''

Caja de engranajes de aluminio","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
5,BNPLS240,Lijadora de palma,"Voltaje: 110-120V~50/60Hz 
Potencia de entrada: 230W
Velocidad en vacío: 15000rpm
Base inferior 110mmx100mm

","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
6,BNRHM800SDS,Martillo perforador,"Voltage:110-120V~50/60Hz
Potencia de entrada:800W
Velocidad sin carga:0-1250rpm
Velocidad de impacto:0-4900bpm
Energía de impacto:3.0J
Capacidad de perforación máx:
 Hormigón:26mm
 Acero:13mm
 Madera:30mm","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
7,BNRHM800,Martillo perforador con portabrocas extra de 13 mm,"
Voltage:110-120V~50/60Hz
Potencia de entrada:800W
Velocidad sin carga:0-1250rpm
Velocidad de impacto:0-4900bpm
Energía de impacto:3.0J
Capacidad de perforación máx:
 Hormigón:26mm
 Acero:13mm
 Madera:30mm","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
8,BNRHM1500,Martillo perforador,"Voltage:110-120V~50/60Hz
Potencia de entrada:1500W
Velocidad sin carga:930rpm
Velocidad de impacto:4300bpm
Energía de impacto:5.5J
Capacidad de perforación máx:
 Hormigón:1-1/4""
 Acero:1/2
 Madera:1-1/2""","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
9,BNTRM350,Router Madera,"Tensión 120 V
Frecuencia 60 Hz
Potencia nominal 350 W
Velocidad sin carga: 26000rpm
Tamaño de pinza 6 mm","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
10,BNROU1600,ROUTER,"Voltage/Frequency: 110-120V~50/60Hz
Entrada nominal: 1600W
Velocidad sin carga: 6000-22000min-1
Profundidad máxima de trabajo: 50mm
Profundidad ajustable, con ajuste fino de profundidad","110V | 60Hz: Colombia
120V | 60Hz: Costa Rica, Dominican Rep., Ecuador, El Salvador, Honduras, Nicaragua, Panama, Venezuela, Guatemala
127V | 60Hz: Mexico
127/220V | 60Hz: Brazil
220V | 50Hz: Argentina, Chile, Paraguay, Uruguay
220V | 60Hz: Peru
230V | 50Hz: Bolivia"
