ID,CODE,Name,Description
1,BNID45,Taladro Percutor Inalámbrico 45Nm,"Velocidad sin carga: 0-400/0-1400rpm
Velocidad máxima de impacto:0-6000BPM/0-21000BPM 
Par máx: 45Nm
Portabrocas de metal
Capacidad del portabrocas: 0,8-10mm
Ajustes de par: 21+3
Engranaje mecánico de 2 velocidades"
2,BNDR45,Taladro Inalámbrico 45Nm (Sin Impacto),"Velocidad en vacío: 0-400/0-1400rpm
Par máx: 45Nm
Portabrocas de plástico
Capacidad del portabrocas: 0,8-10 mm 
Ajustes de par: 18+1
Engranaje mecánico de 2 velocidades"
3,BNCID60,Taladro Percutor Compacto 60Nm,"Velocidad en vacío: 0-500/0-2000rpm
Velocidad máxima de impacto:0-8000bpm/ 0-32000bpm
Par máximo: 60Nm
Portabrocas de metal
Capacidad del portabrocas: portabrocas metálico de 1,5-13 mm
Ajustes de par: 20+3
Engranaje mecánico de 2 velocidades"
4,BNCID60K,Taladro Percutor Compacto 60Nm (Kit),"Velocidad en vacío: 0-500/0-2000rpm
Velocidad máxima de impacto:0-8000bpm/ 0-32000bpm
Par máximo: 60Nm
Portabrocas de metal
Capacidad del portabrocas: portabrocas metálico de 1,5-13 mm
Ajustes de par: 20+3
Engranaje mecánico de 2 velocidades"
5,BNIW400,Llave de Impacto batería 400Nm,"Accionamiento cuadrado: 1/2»
Velocidad en vacío: 0-1800/0-2200/0-2600rpm
Velocidad de impacto: 0-2500/0-3000/0-3500bpm
Par de apriete: 400Nm"
6,BNIW4002B1,Llave de Impacto batería 400Nm (1 Bat 2.0Ah y 1 ch.),"Accionamiento cuadrado: 1/2»
Velocidad en vacío: 0-1800/0-2200/0-2600rpm
Velocidad de impacto: 0-2500/0-3000/0-3500bpm
Par de apriete: 400Nm"
7,BNIW4002B2,Llave de Impacto batería 400Nm (2 Bat 2.0Ah y 1 ch.),"Accionamiento cuadrado: 1/2»
Velocidad en vacío: 0-1800/0-2200/0-2600rpm
Velocidad de impacto: 0-2500/0-3000/0-3500bpm
Par de apriete: 400Nm"
8,BNIW6004B2,Llave de Impacto batería 600Nm (2 Bat 4.0Ah y 1 ch.),"
Accionamiento cuadrado: 1/2»
Velocidad en vacío: 0-1700/0-2100/0-2400rpm
Velocidad de impacto: 0-2300/0-2700/0-3000bpm
Par de apriete: 600Nm"
9,BNIW6004B1,Llave de Impacto batería 600Nm (1 Bat 4.0Ah y 1 ch.),"
Accionamiento cuadrado: 1/2»
Velocidad en vacío: 0-1700/0-2100/0-2400rpm
Velocidad de impacto: 0-2300/0-2700/0-3000bpm
Par de apriete: 600Nm"
10,BNIW8504B2,Llave de Impacto batería 850Nm (2 Bat 4.0Ah y 1 ch.),"Accionamiento cuadrado:1/2
Velocidad en vacío: 0-600/0-1300/0-2400rpm
Velocidad de impacto: 0-900/0-1700/0-2700bpm
Par de apriete:850Nm"
11,BNIW8504B1,Llave de Impacto batería 850Nm (1 Bat 4.0Ah y 1 ch.),"
Accionamiento cuadrado:1/2
Velocidad en vacío: 0-600/0-1300/0-2400rpm
Velocidad de impacto: 0-900/0-1700/0-2700bpm
Par de apriete:850Nm"
12,BNCAG8504B1,Amoladora Angular batería 850W (1 Bat 4.0Ah y 1 ch.),"
Velocidad en vacío: 2500-10000rpm
Diámetro del disco: 4-1/2
Rosca del eje: 5/8""-11UNC
6 Velocidades "
13,BNAG850,Amoladora Angular batería 850W,"
Velocidad en vacío: 2500-10000rpm
Diámetro del disco: 4-1/2
Rosca del eje: 5/8""-11UNC
6 Velocidades "
14,BNRH20J4B1,Rotomartillo Inalámbrico 2.0J (1 Bat 4.0Ah y 1 ch.),"
Velocidad en vacío: 0-1420rpm
Velocidad de impacto: 0-4500bpm
Energía de impacto: 2.0J
Max.capacidad de perforación:
 Hormigón: 22mm
 Acero: 13mm
 Madera: 28mm"
